시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
동두천시,202412,740,1950,2709
동두천시,202411,726,1843,1809
동두천시,202410,682,1614,1955
동두천시,202409,558,3208,1918
동두천시,202408,551,1476,1480
동두천시,202407,589,1554,997
동두천시,202406,546,1456,1177
동두천시,202405,614,2285,1891
동두천시,202404,666,1284,1657
동두천시,202403,585,1135,1608
동두천시,202402,565,2974,1543
동두천시,202401,487,1160,701
부천시,202604,5713,23318,28428
부천시,202603,5779,33891,31526
부천시,202602,4014,27634,26551
부천시,202601,4422,17764,29052
부천시,202512,5876,35481,31984
부천시,202511,5380,31655,32178
부천시,202510,6987,31553,27356
부천시,202509,9282,44860,25080
부천시,202508,9508,18158,16794
부천시,202507,13827,26147,16483
부천시,202506,3247,14276,11871
부천시,202505,2608,8145,9726
부천시,202504,4503,10999,12814
부천시,202503,4467,13830,15055
부천시,202502,5233,12663,14063
부천시,202501,5710,22025,15592
부천시,202412,2816,3606,8444
부천시,202411,4721,14849,17249
부천시,202410,6305,15308,19390
부천시,202409,6169,26456,20880
부천시,202408,4786,18689,19609
부천시,202407,3861,19628,19602
부천시,202406,2831,21537,19083
부천시,202405,3413,16540,18050
부천시,202404,3662,15782,18216
부천시,202403,5025,15041,20112
부천시,202402,5350,26168,21666
부천시,202401,4858,12573,20301
성남시,202604,14751,30030,31809
성남시,202603,7883,26302,37242
성남시,202602,2746,50071,36162
성남시,202601,7329,20266,34708
성남시,202512,7048,28010,41423
성남시,202511,6841,17742,40310
성남시,202510,11211,69203,46601
성남시,202509,7562,16590,36470
성남시,202508,6043,11766,39450
성남시,202507,15529,10440,51876
성남시,202506,11274,100270,65330
성남시,202505,9885,88236,62579
성남시,202504,9434,58222,50398
성남시,202503,9833,61578,47463
성남시,202502,8831,58185,40831
성남시,202501,18338,88730,31053
성남시,202412,4654,17081,15385
성남시,202411,4320,10041,12741
성남시,202410,5086,10041,14645
성남시,202409,7954,30108,16836
성남시,202408,6109,10048,12297
성남시,202407,4101,10029,13111
성남시,202406,2790,10041,14799
성남시,202405,3838,16095,20175
성남시,202404,3528,15514,20293
성남시,202403,5066,15763,22430
성남시,202402,9493,40021,23002
성남시,202401,7344,15329,18830
수원시,202604,7508,24368,32373
수원시,202603,8186,24933,38875
수원시,202602,8862,64477,39617
수원시,202601,8430,22023,32186
수원시,202512,9616,29849,40562
수원시,202511,8395,30735,49907
수원시,202510,16558,91717,50585
수원시,202509,11320,24073,38371
수원시,202508,15764,69525,51767
수원시,202507,18471,23281,22717
수원시,202506,6509,20865,22067
수원시,202505,6192,21070,24396
수원시,202504,9769,20210,25765
수원시,202503,10658,20001,29868
수원시,202502,19941,21527,35374
수원시,202501,33752,95743,33781
수원시,202412,8157,19491,23415
수원시,202411,8854,20887,23538
수원시,202410,11170,18469,26037
수원시,202409,10834,38117,30375
수원시,202408,8432,24711,25737
수원시,202407,6771,26141,25390
수원시,202406,5268,30226,24396
수원시,202405,5979,19288,22336
수원시,202404,7017,19769,23026
수원시,202403,8291,18634,22787
수원시,202402,10050,38781,23661
수원시,202401,7743,18840,22427
시흥시,202604,3506,21142,23390
시흥시,202603,4097,20563,25196
시흥시,202602,2932,30749,23867
시흥시,202601,6482,18192,22276
시흥시,202512,448,22405,21651
시흥시,202511,3120,23270,24078
시흥시,202510,2347,23016,21911
시흥시,202509,4998,29125,21211
시흥시,202508,2735,15358,19232
시흥시,202507,6814,31061,21934
시흥시,202506,2641,17055,17436
시흥시,202505,2288,17289,18173
시흥시,202504,2032,16958,17940
시흥시,202503,2697,17134,19071
시흥시,202502,2030,15509,18232
시흥시,202501,4914,31470,18488
시흥시,202412,1838,3824,9691
시흥시,202411,2221,18675,18120
시흥시,202410,2640,17610,37968
시흥시,202409,3167,23251,20192
시흥시,202408,2533,18699,18622
시흥시,202407,2250,19092,17595
시흥시,202406,2162,21165,19809
